Generation,Number,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,Gale Of Darkness,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
I,27,Sandshrew (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,T,C,R,T,RD,RD,—,—,—,T,T
I,28,Sandslash,T,C,C,C,C,E,C,E,E,EvE,C,E,T,E,D,D,D,C,C,C,C,C,C,C,C,E,E,T,T,T,T,E,T,CD,CD,T,C,—,CD,CD
I,28,Sandslash (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,E,T,E,E,T,ED,ED,—,—,—,T,T
I,29,Nidoran♀,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
I,30,Nidorina,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
I,31,Nidoqueen,E,E,E,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,EvB,EvB,C,C,CD,CD,E,E,—,—,—
I,32,Nidoran♂,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
I,33,Nidorino,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
I,34,Nidoking,E,E,E,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,Ev,Ev,C,C,CD,CD,E,E,—,—,—
I,35,Clefairy,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,FS,FS,C,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD
I,36,Clefable,E,E,R,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,C,C,C,C,FSE,FSE,E,E,E,E,E,E,C,C,C,C,E,E,C,CD,CD
I,37,Vulpix,T,C,T,R,T,C,T,C,C,Ev,C,C,T,S,D,D,D,T,C,C,C,C,C,FSB,FSB,C,C,T,T,T,T,T,C,C,C,T,C,C,CD,CD
I,37,Vulpix (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,C,T,T,R,RD,RD,—,—,R,T,T
I,38,Ninetales,T,E,T,E,T,E,T,E,E,EvE,E,E,T,E,DE,DE,DE,T,E,C,C,C,C,FS,FS,E,E,T,T,T,T,T,C,C,D,T,E,C,CD,CD
I,38,Ninetales (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,EvE,E,T,T,E,ED,ED,—,—,E,T,T
I,39,Jigglypuff,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,S,S,—,C,C
I,40,Wigglytuff,C,C,C,R,E,E,E,E,E,E,E,E,T,T,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,CD,CD,E,E,—,C,C
I,41,Zubat,C,C,C,C,C,C,C,C,C,C,C,C,T,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
I,42,Golbat,C,C,C,C,C,C,C,C,C,C,C,C,T,E,C,C,C,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
I,43,Oddish,C,T,C,C,C,C,C,C,C,C,Ev,C,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,T,T,T,T,C,T,C,C,C,C,—,—,—
I,44,Gloom,C,T,C,C,C,C,C,C,C,C,EvE,C,T,T,C,C,C,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,T,T,C,T,C,C,C,C,—,—,—
I,45,Vileplume,E,T,E,E,E,E,E,E,E,E,EvE,E,T,T,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,C,T,C,C,E,E,—,—,—
I,46,Paras,C,C,C,C,C,C,C,T,T,C,C,T,T,S,S,S,S,C,C,DW,S,DW,DW,FS,FS,C,C,C,C,C,C,C,C,—,—,S,S,C,—,—
I,47,Parasect,C,C,C,C,E,E,C,T,T,C,C,T,T,E,E,E,E,C,C,DWE,E,DWE,DWE,FSE,FSE,E,E,E,E,C,C,E,E,—,—,E,E,C,—,—
I,48,Venonat,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,C,C,FSB,FSB,B,B,T,T,T,T,C,C,—,—,C,C,—,C,C
I,49,Venomoth,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,C,C,E,E,FS,FS,C,C,T,T,T,T,C,C,—,—,C,C,—,C,C
I,50,Diglett,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,DW,DW,DW,B,B,C,C,T,T,T,T,C,C,C,C,C,C,—,C,C
I,50,Diglett (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,RD,RD,—,—,—,T,T
I,51,Dugtrio,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,DWE,DWE,DWE,DWE,C,C,E,E,T,T,T,T,C,C,C,C,C,C,—,C,C
I,51,Dugtrio (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,ED,ED,—,—,—,T,T
I,52,Meowth,T,C,C,T,T,C,C,Ev,Ev,C,C,R,T,S,S,S,S,T,C,DW,DW,R,R,T,T,B,B,T,T,T,T,T,C,R,R,S,S,—,C,C
I,52,Meowth (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,R,RD,RD,—,—,—,T,T
I,52,Meowth (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,R,R
I,53,Persian,T,E,E,T,T,C,C,EvE,EvE,C,C,E,T,E,E,E,E,T,C,DWE,DWE,E,E,T,T,C,C,T,T,T,T,R,E,E,E,E,E,—,C,C
I,53,Persian (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,T,E,ED,ED,—,—,—,T,T
I,54,Psyduck,C,C,C,C,C,C,C,C,C,C,Ev,C,T,T,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,C,C
I,55,Golduck,C,C,E,C,C,C,C,C,C,C,EvE,C,T,S,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,CD,CD,E,E,C,C,C
I,56,Mankey,C,T,T,C,C,T,T,T,T,C,C,T,T,T,C,C,C,C,T,S,S,R,R,FS,FS,C,C,C,C,C,C,C,T,—,—,C,C,—,C,C
I,57,Primeape,E,T,T,C,C,T,T,T,T,C,C,T,T,S,C,C,C,C,T,E,E,E,E,FSE,FSE,E,E,C,C,C,C,E,T,—,—,C,C,—,C,C
I,58,Growlithe,C,T,C,C,C,T,C,Ev,Ev,C,Ev,Ev,T,S,D,D,D,C,T,DW,DW,C,C,FS,FS,C,C,C,C,C,C,C,T,C,C,C,T,—,C,C
I,58,Growlithe (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,RD,RD
I,59,Arcanine,E,T,E,E,E,T,E,EvE,EvE,E,EvE,EvE,T,E,DE,DE,DE,E,T,DWE,DWE,E,E,FSE,FSE,E,E,E,E,E,E,C,R,D,C,E,T,—,C,C
I,59,Arcanine (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,ED,ED
I,60,Poliwag,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—,CD,CD
I,61,Poliwhirl,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,C,C,T,T,R,R,C,C,C,C,CD,CD,C,C,—,CD,CD
I,62,Poliwrath,E,E,E,E,E,E,E,T,T,E,E,T,T,S,E,E,E,E,E,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,E,E,—,CD,CD
I,63,Abra,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,C,B,B,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
I,64,Kadabra,C,C,C,C,C,C,C,E,E,C,C,E,T,T,C,C,C,C,C,DW,E,B,B,E,E,E,E,C,C,E,E,C,C,CD,CD,C,C,C,—,—
I,65,Alakazam,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,DWET,ET,R,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,CD,CD,ET,ET,C,—,—
I,66,Machop,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—
I,67,Machoke,C,C,C,C,C,C,C,E,E,C,C,E,T,T,C,C,C,C,C,DWE,E,DWE,DWE,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,—,—
I,68,Machamp,ET,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,DWET,ET,DWET,DWET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,C,C,ET,ET,C,—,—
I,69,Bellsprout,T,C,T,C,C,C,C,Ev,Ev,Ev,C,Ev,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,T,T,S,S,T,T,T,C,—,—,C,C,—,CD,CD
I,70,Weepinbell,T,C,T,C,C,C,C,EvE,EvE,EvE,C,EvE,T,S,C,C,C,C,C,DWE,E,DWE,DWE,C,C,T,T,E,E,T,T,T,C,—,—,C,C,—,CD,CD
I,71,Victreebel,T,E,T,E,E,E,E,EvE,EvE,EvE,E,EvE,T,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,T,T,E,E,T,T,T,C,—,—,E,E,—,CD,CD
I,72,Tentacool,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
I,73,Tentacruel,E,E,E,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DWE,DWE,DWE,DWE,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
I,74,Geodude,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,B,B,DW,DW,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C,CD,CD
I,74,Geodude (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,R,R,—,—,—,—,—,T,T
I,75,Graveler,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,DWE,DWE,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C,CD,CD
I,75,Graveler (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—,T,T
I,76,Golem,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,ET,ET,DWET,DWET,ET,ET,ET,ET,T,T,T,T,ET,ET,—,—,ET,ET,C,CD,CD
I,76,Golem (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,ET,ET,ET,ET,—,—,—,—,—,T,T
I,77,Ponyta,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,DW,DW,FS,FS,C,C,T,T,T,T,C,C,T,RD,C,C,C,—,—
I,77,Ponyta (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,—,—,—,—,—
I,78,Rapidash,E,E,C,E,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,C,C,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,T,ED,E,E,C,—,—
I,78,Rapidash (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,D,—,—,—,—,—
I,79,Slowpoke,C,C,C,C,C,C,C,Ev,Ev,Ev,C,Ev,T,T,T,C,C,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,RD,RD,T,C,—,C,C
I,79,Slowpoke (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,T,T
I,80,Slowbro,C,C,C,C,C,C,C,EvE,EvE,EvE,C,EvE,T,T,T,E,E,C,C,C,C,E,E,E,E,E,E,C,C,C,C,C,C,DA,DA,T,E,—,C,C
I,80,Slowbro (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ED,ED,—,—,—,T,T
I,81,Magnemite,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,C,C,C,DW,C,C,C,B,B,C,C,C,C,C,C,C,C,CD,CD,C,C,C,C,C
I,82,Magneton,C,C,C,C,E,E,R,C,C,C,C,C,T,S,E,E,C,C,C,DWE,E,C,C,C,C,E,E,E,E,E,E,C,C,CD,CD,E,E,C,C,C
I,83,Farfetch'd,R,R,R,C,C,C,C,T,T,R,R,T,T,S,S,S,S,C,C,S,S,S,S,C,C,T,T,T,T,T,T,C,C,RD,T,C,C,—,—,—
I,83,Farfetch'd (Galarian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,—,—,—,—,—
I,84,Doduo,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,S,C,C,S,S,S,S,C,C,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—
I,85,Dodrio,C,C,C,C,C,C,C,C,C,E,E,C,T,S,E,E,E,C,C,E,E,E,E,E,E,E,E,T,T,T,T,C,C,—,—,E,E,—,—,—
I,86,Seel,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,T,B,C,C,C,C,C,C,FSB,FSB,C,C,T,T,C,C,C,C,—,—,C,T,—,—,—
I,87,Dewgong,C,C,C,C,E,E,E,T,T,C,C,T,T,E,C,T,C,C,C,C,C,C,C,FS,FS,C,C,T,T,E,E,C,C,—,—,C,T,—,—,—
I,88,Grimer,C,C,C,C,C,C,C,C,C,C,C,C,T,S,C,C,C,C,C,DW,DW,C,C,FSB,FSB,C,C,T,T,T,T,C,T,—,—,C,C,—,C,C
I,88,Grimer (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,T,—,—,—,—,—,T,T
I,89,Muk,C,C,C,C,C,C,C,E,E,E,C,E,T,E,E,E,E,C,C,DWE,DWE,C,C,FS,FS,E,E,T,T,T,T,C,T,—,—,E,E,—,C,C
I,89,Muk (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,E,T,—,—,—,—,—,T,T
I,90,Shellder,C,C,C,C,C,C,C,Ev,Ev,C,Ev,Ev,T,S,C,C,C,C,C,C,C,C,C,FSB,C,T,T,C,C,C,C,C,C,C,C,C,C,—,C,C
I,91,Cloyster,E,E,E,E,E,E,E,EvE,EvE,E,EvE,EvE,T,E,E,E,E,E,E,C,C,C,C,FS,C,T,T,E,E,E,E,C,C,C,C,E,E,—,C,C
I,92,Gastly,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,C,DW,DW,B,B,EvB,EvB,C,C,C,C,C,C,C,C,C,C,C,C,C
I,93,Haunter,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DWE,E,DWE,DWE,C,C,EvB,EvB,C,C,C,C,C,C,C,C,E,E,C,C,C
I,94,Gengar,ET,ET,R,ET,ET,ET,ET,T,T,ET,ET,T,T,T,D,D,D,ET,ET,DWET,ET,DWET,DWET,ET,ET,Ev,Ev,C,C,C,C,ET,ET,C,C,ET,ET,C,C,C
I,95,Onix,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,C,C,C,C,C,C,C,—,—
I,96,Drowzee,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,S,C,C,DW,DW,B,B,FS,FS,B,B,C,C,C,C,C,C,—,—,C,C,—,C,C
I,97,Hypno,C,C,C,E,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,DWE,DWE,S,S,FSE,FSE,C,C,C,C,C,C,E,E,—,—,E,E,—,C,C
I,98,Krabby,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,S,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,C,C,C,C,C,C,—,—,—
I,99,Kingler,C,C,C,C,C,C,C,T,T,E,C,T,T,T,E,E,E,C,C,C,C,C,C,FSE,FSE,E,E,T,T,T,T,C,C,C,C,E,E,—,—,—
I,100,Voltorb,C,C,C,C,C,C,C,C,C,C,C,C,T,S,S,S,S,C,C,DW,DW,DW,DW,B,B,C,C,T,T,B,B,C,C,—,—,C,C,—,C,C
I,100,Voltorb (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,T
I,101,Electrode,C,C,C,C,C,C,C,C,C,C,C,C,T,E,E,E,E,C,C,DWE,DWE,DWE,DWE,C,C,C,C,T,T,C,C,C,C,—,—,E,E,—,C,C
I,101,Electrode (Hisuian Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,T
I,102,Exeggcute,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,S,C,C,S,S,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,S,S,—,—,—
I,103,Exeggutor,E,E,E,E,E,E,E,T,T,E,E,T,T,S,E,E,E,E,E,E,E,DWE,DWE,E,E,T,T,T,T,E,E,C,C,CD,CD,E,E,—,—,—
I,103,Exeggutor (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,RD,RD,—,—,—,—,—
I,104,Cubone,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,S,C,C,B,B,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—,—,—
I,105,Marowak,C,C,C,C,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,C,C,DWE,DWE,E,E,T,T,T,T,E,E,E,E,CD,CD,E,E,—,—,—
I,105,Marowak (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,R,E,R,R,RD,RD,—,—,—,—,—
I,106,Hitmonlee,R,R,R,R,E,E,E,T,T,R,R,T,T,S,E,E,E,E,E,E,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,C,D,E,E,—,—,—
I,107,Hitmonchan,R,R,R,R,E,E,E,T,T,R,R,T,T,S,E,E,E,E,E,E,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,D,C,E,E,—,—,—
I,108,Lickitung,R,R,C,C,C,C,C,T,T,R,R,T,T,S,S,S,C,C,C,C,C,C,C,C,C,T,T,T,T,C,C,C,C,CD,CD,C,C,C,—,—
I,109,Koffing,C,C,C,T,C,C,C,C,C,C,C,C,T,T,B,B,C,C,C,DW,DW,C,C,T,T,C,C,T,T,T,T,T,C,C,C,B,B,—,CD,CD
